rubro;nombre;incluido;sgeNombre
Biblioteca préstamos;Prestar;TRUE;BIBLIOTECA_PRESTAMO_PRESTAR
Biblioteca préstamos;Ver prestamos activos y finalizados;TRUE;BIBLIOTECA_PRESTAMO_VER_PRESTAMOS
Biblioteca préstamos;"Ver ""Mis prestamos activos y finalizados""";TRUE;BIBLIOTECA_PRESTAMO_VER_MIS_PRESTAMOS
Convenio electrocomponentes;Requerir certificado;FALSE;CONV_ELECTROCOMPONENTES_REQUERIR_CERTIFICADO
Convenio electrocomponentes;Ver detalles del convenio;FALSE;CONV_ELECTROCOMPONENTES_VER_DETALLES
Convenio electrocomponentes;Administrar certificados pedidos;FALSE;CONV_ELECTROCOMPONENTES_ADMIN_CERTIFICADOS
Convenio electrocomponentes;Eliminar certificado;FALSE;CONV_ELECTROCOMPONENTES_ELIMINAR_CERTIFICADO
Convenio Mayer;Requerir certificado;FALSE;CONV_MAYER_REQUERIR_CERTIFICADO
Convenio Mayer;"Ver ""Mis pedidos actuales y pasados""";FALSE;CONV_MAYER_VER_MIS_PEDIDOS
Convenio Mayer;Enviar resumen a Mayer;FALSE;CONV_MAYER_ENVIAR_RESUMEN
Convenio Mayer;Administrar pedidos para Mayer;FALSE;CONV_MAYER_ADMIN_PEDIDOS
Reporte de fallas;Reportar Fallas de Pc/s e Instrumental;TRUE;REP_FALLAS_BUSCAR_REP_FALLAS
Reporte de fallas;Buscar Reportes de Fallas;TRUE;REP_FALLAS_REPORTAR_FALLAS
Reporte de fallas;Administrar Reportes de Fallas;TRUE;REP_FALLAS_ADMIN_REP_FALLAS
Actividades para usuario del SGE;Publicar y Administrar;FALSE;ACTIVIDADES_USUARIO_SGE_PUBLICAR_ADMIN
Actividades para usuario del SGE;Ver publicaciones;FALSE;ACTIVIDADES_USUARIO_SGE_VER_PUBLICACIONES
Actividades abiertas;Publicar y Administrar;FALSE;ACTIVIDADES_ABIERTAS_PUBLICAR_ADMIN
Actividades abiertas;Ver publicaciones;FALSE;ACTIVIDADES_ABIERTAS_VER_PUBLICACIONES
