permiso;rol
BIBLIOTECA_PRESTAMO_VER_MIS_PRESTAMOS;Alumno
BIBLIOTECA_PRESTAMO_VER_MIS_PRESTAMOS;Docente
BIBLIOTECA_PRESTAMO_VER_MIS_PRESTAMOS;Cátedra
BIBLIOTECA_PRESTAMO_VER_MIS_PRESTAMOS;Préstamo de libros
REP_FALLAS_BUSCAR_REP_FALLAS;Alumno
REP_FALLAS_BUSCAR_REP_FALLAS;Docente
REP_FALLAS_BUSCAR_REP_FALLAS;Cátedra
REP_FALLAS_BUSCAR_REP_FALLAS;Inventario
REP_FALLAS_REPORTAR_FALLAS;Inventario
REP_FALLAS_ADMIN_REP_FALLAS;Inventario
